Epoch,Accuracy,Loss
1,tensor(87.4399),0.007381017042252307
2,tensor(92.4880),0.004163768182759388
3,tensor(93.4796),0.003541697866659468
4,tensor(94.1707),0.0029377605925009656
5,tensor(94.9219),0.0025060260142289246
6,tensor(95.9736),0.0021749303710888713
7,tensor(95.6430),0.0021013507794123143
8,tensor(97.0853),0.0015092212376587738
9,tensor(96.8750),0.0016341710601969121
10,tensor(96.9050),0.0014464975504849392
11,tensor(97.3257),0.0013253632521529933
12,tensor(96.9050),0.0014674615264923957
13,tensor(97.4459),0.001283801690778301
14,tensor(97.5962),0.0012829105533175887
